expno,polymer,solvent,mn,mw,cryst,tg,dens,pressure,temperature,wa,doi,notes
1,1,11,18000,80000,0,593,1.238,0.002315112540193,283.15,0.081632653061225,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
2,1,11,18000,80000,0,593,1.238,0.004340836012862,283.15,0.1,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
3,1,11,18000,80000,0,593,1.238,0.006655948553055,283.15,0.112207151664612,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
4,1,11,18000,80000,0,593,1.238,0.010225080385852,283.15,0.143876337693222,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
5,1,11,18000,80000,0,593,1.238,0.01572347266881,283.15,0.181818181818182,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
6,1,11,18000,80000,0,593,1.238,0.020257234726688,283.15,0.210526315789474,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
7,1,11,18000,80000,0,593,1.238,0.022958199356913,283.15,0.231590181430096,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
8,1,11,18000,80000,0,593,1.238,0.025659163987138,283.15,0.268292682926829,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
9,1,11,18000,80000,0,593,1.238,0.025948553054662,283.15,0.28,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
10,1,11,18000,80000,0,593,1.238,0.026527331189711,283.15,0.287833827893175,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
11,1,11,18000,80000,0,593,1.238,0.026913183279743,283.15,0.292035398230088,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
12,1,11,18000,80000,0,593,1.238,0.008681672025723,293.15,0.1,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
13,1,11,18000,80000,0,593,1.238,0.017652733118971,293.15,0.148936170212766,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
14,1,11,18000,80000,0,593,1.238,0.023826366559486,293.15,0.180887372013652,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
15,1,11,18000,80000,0,593,1.238,0.029421221864952,293.15,0.209659714599341,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
16,1,11,18000,80000,0,593,1.238,0.031254019292605,293.15,0.228295819935691,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
17,1,11,18000,80000,0,593,1.238,0.032025723472669,293.15,0.235668789808917,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
18,1,11,18000,80000,0,593,1.238,0.032508038585209,293.15,0.239704329461457,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
19,1,11,18000,80000,0,593,1.238,0.003086816720257,308.15,0.052631578947368,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
20,1,11,18000,80000,0,593,1.238,0.004630225080386,308.15,0.058823529411765,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
21,1,11,18000,80000,0,593,1.238,0.006463022508039,308.15,0.067357512953368,10.1021/ie3027873,Matrimid 5218 by Huntsman Advanced Materials
