solvent,formula,name,SMILES,stype
1,CO2,carbon dioxide,O=C=O,OX
2,CH4,methane,C,PA
3,C4H10,n-butane,CCCC,PA
4,CClF2CH3,"1-chloro-1,1-difluoroethane",CC(F)(F)Cl,FR
5,C4H10,2-methylpropane,CC(C)C,PA
6,CF3CH2F,"1,1,1,2-tetrafluoroethane",FCC(F)(F)F,FR
7,C3H6,propene,C=CC,OL
8,CHF2CH3,"1,1-difluoroethane",CC(F)F,FR
9,C2HF5,pentafluoroethane,FC(F)C(F)(F)F,FR
10,N2,nitrogen,N#N,SG
11,CH2Cl2,dichloromethane,ClCCl,FR
12,C4H8,1-butene,C=CCC,OL
13,C2H4,ethene,C=C,OL
14,C6H12,1-hexene,C=CCCCC,OL
15,C3H8,propane,CCC,PA
16,O2,oxygen,O=O,SG
17,Ar,argon,[Ar],SG
18,C5H12,n-pentane,CCCCC,PA
19,C6H14,n-hexane,CCCCCC,PA
20,C7H16,n-heptane,CCCCCCC,PA
21,C2H6,ethane,CC,PA
22,H2O,water,O,OX
23,C6H5CH3,toluene,Cc1ccccc1,AR
24,CH3OH,methanol,CO,AL
25,C2H5OH,ethanol,CCO,AL
26,C3H7OH,1-propanol,CCCO,AL
27,Xe,xenon,[Xe],SG
28,N2O,dinitrogen monoxide,N#[N+][O-],OX
29,Kr,krypton,[Kr],SG
30,C5H12,isopentane,CCC(C)C,PA
31,SO2,sulphur dioxide,O=S=O,OX
32,CHClF2,R22,FC(F)Cl,FR
33,CH2CF2,vinylidene fluoride,C=C(F)F,OL
34,H2,hydrogen,[H][H],SG
35,CF4,tetrafluoromethane,FC(F)(F)F,FR
36,C2F6,hexafluoroethane,FC(F)(F)C(F)(F)F,FR
37,C3F8,octafluoropropane,FC(F)(F)C(F)(F)C(F)(F)F,FR
38,CO,carbon monoxide,[C-]#[O+],OX
39,C3H7OH,2-propanol,CC(C)O,AL
40,C4H9OH,1-butanol,CCCCO,AL
41,C4H9OH,2-butanol,CCC(C)O,AL
42,C4H9OH,isobutanol,CC(C)CO,AL
43,CH3COCH3,acetone,CC(C)=O,ON
44,CH3COC2H5,methylethylketone,CCC(C)=O,ON
45,CH3COOCH3,methylacetate,COC(C)=O,ES
46,CH3COOC3H7,propylacetate,CCCOC(C)=O,ES
47,C8H18,octane,CCCCCCCC,PA
48,C5H10,cyclopentane,C1CCCC1,PA
49,C6H12,cyclohexane,C1CCCCC1,PA
50,C6H6,benzene,c1ccccc1,AR
51,C6H5C2H5,ethylbenzene,CCc1ccccc1,AR
52,C6H4(CH3)2,p-xylene,Cc1ccc(C)cc1,AR
53,C2H5OC2H5,diethyl ether,CCOCC,ET
54,CH3COOC2H5,ethyl acetate,CCOC(C)=O,ES
55,C6H5NO2,nitrobenzene,O=[N+]([O-])c1ccccc1,AR
56,C5H11OH,1-pentanol,CCCCCO,AL
57,C6H13OH,1-hexanol,CCCCCCO,AL
58,CH2ClCH2Cl,"1,2-dichloroethane",ClCCCl,FR
59,CHCl3,chloroform,ClC(Cl)Cl,FR
60,C4H8O,tetrahydrofuran,C1CCOC1,HC
61,C6H4(CH3)2,m-xylene,Cc1cccc(C)c1,AR
62,C9H20,nonane,CCCCCCCCC,PA
63,Br2,bromine,BrBr,SG
64,H2S,hydrogen sulfide,S,HD
65,C4H6,1`3-butadiene,C=CC=C,OL
66,C2H4O,ethylene oxide,C1CO1,HC
67,CH3OCOOCH3,dimethyl carbonate,COC(=O)OC,ES
68,SF6,sulfur hexafluoride,FS(F)(F)(F)(F)F,HL
69,CCl4,carbon tetrachloride,ClC(Cl)(Cl)Cl,HL
70,C5H12,neopentane,CC(C)(C)C,PA
71,PO(CH3)(OCH3)2,dimethyl methyl phosphonate,COP(C)(=O)OC,OX
72,C4H9OH,tert-butyl alcohol,CC(C)(C)O,AL
73,C6H12O2,butyl acetate,CCCCOC(C)=O,ES
74,ClO2,chlorine dioxide,[O][Cl+][O-],OX
75,Cl2,chlorine,ClCl,SG
76,He,helium,[He],SG
77,Ne,neon,[Ne],SG
78,C2H2,acetylene,C#C,YN
79,C8H18,"isooctane, 2,2,4-trimethylpentane",CC(C)CC(C)(C)C,PA
80,C4H8O2,"1,4-dioxane",C1COCCO1,ET
81,C2H5COC2H5,diethyl ketone,CCC(=O)CC,ON
82,C3H7OC3H7,di-n-propyl ether,CCCOCCC,ET
83,CH3NO2,nitromethane,C[N+](=O)[O-],NI
84,(C2H3)OCOCH3,vinyl acetate,C=COC(C)=O,OL
