polymer,cut,poly_mass
1,1,552.61
2,1,114.16
2,2,114.16
3,1,28.06
3,2,56.12
4,1,44.06
4,2,88.12
4,3,132.18
5,1,192.18
5,2,192.18
6,1,72.07
6,2,72.07
6,3,144.14
7,1,100.13
7,2,200.26
8,1,42.09
8,2,84.18
9,1,58.09
9,2,58.09
9,3,116.18
10,1,104.16
10,2,208.32
11,1,442.56
11,2,442.56
12,1,64.04
12,2,128.08
12,3,192.12
13,1,172.2
13,2,172.2
14,1,120.16
14,2,120.16
14,3,240.32
14,4,360.48
15,1,86.1
15,2,172.2
15,3,258.3
16,1,592.63
16,2,592.63
16,3,592.63
16,4,592.63
17,1,242.35
17,2,242.35
18,1,499.11
19,1,68.13
19,2,136.26
20,1,88.54
20,2,177.08
21,1,254.3
21,2,508.6
22,1,288.31
22,2,288.31
22,3,576.62
23,1,74.17
23,2,148.34
23,3,222.51
24,1,114.16
24,2,228.32
25,1,112.27
25,2,224.54
26,1,100.02
26,2,200.04
26,3,300.06
27,1,44.06
27,2,88.12
28,1,162.2
28,2,324.4
29,1,134.19
29,2,268.38
30,1,142.22
30,2,284.44
31,1,156.25
31,2,312.5
32,1,158.13
32,2,316.26
33,1,308.36
33,2,308.36
34,1,100.13
34,2,200.26
35,1,895.65
36,1,895.65
37,1,769.38
38,1,643.11
39,1,685.2
40,1,727.29
41,1,1039.65
42,1,232.27
42,2,464.54
43,1,102.15
43,2,102.15
43,3,204.3
43,4,204.3
44,1,116.18
44,2,116.18
44,3,232.36
44,4,232.36
45,1,114.16
45,2,114.16
45,3,228.32
45,4,228.32
46,1,130.21
46,2,130.21
46,3,260.42
46,4,260.42
47,1,72.12
47,2,144.24
48,1,182.14
48,2,182.14
48,3,364.28
49,1,558.46
50,1,602.47
51,1,638.53
52,1,56.12
52,2,112.24
53,1,742.5
54,1,176.23
54,2,352.46
55,1,516.37
56,1,572.49
57,1,608.47
58,1,516.37
59,1,111.16
59,2,222.32
60,1,130.16
60,2,260.32
61,1,234.37
62,1,248.4
63,1,264.61
64,1,468.72
64,2,468.72
64,3,468.72
64,4,468.72
65,1,308.36
65,2,308.36
65,3,308.36
65,4,308.36
65,5,308.36
66,1,62.5
66,2,62.5
66,3,125.0
66,4,125.0
67,1,100.13
67,2,200.26
68,1,212.37
69,1,380.73
70,1,458.342
71,1,506.43926093353
72,1,614.515250665617
73,1,382.274869442147
74,1,634.405157657809
75,1,592.370961122456
76,1,736.369761302429
77,1,550.787617894272
78,1,608.375359363159
78,2,608.375359363159
79,1,606.382359967573
80,1,262.939487716969
81,1,244.903588682926
82,1,327.987934650499
83,1,309.952035616456
84,1,363.173684252322
85,1,94.0635971967276
85,2,188.127194393455
86,1,237.909342554702
87,1,231.095342554702
88,1,209.2
89,1,105.082343513877
89,2,210.164687027754
90,1,157.103438705422
91,1,72.0426930617539
92,1,58.0385947760569
93,1,194.130081638959
93,2,194.130081638959
93,3,194.130081638959
94,1,282.237576017432
95,1,148.109886312433
96,1,498.458957881357
97,1,470.436160191121
98,1,510.470056771468
99,1,400.379165965533
99,2,400.379165965533
100,1,456.424761346004
100,2,456.424761346004
101,1,484.447559036239
101,2,484.447559036239
102,1,100.166026800381
103,1,250.30041330174
104,1,82.0680931156997
105,1,116.101089831026
106,1,86.0540919068716
107,1,105.082343513877
108,1,156.778393070706
108,2,313.556786141413
