solvent,bt,ct,cp
1,194.7,304.1,7.38
2,111.6,190.6,4.6
3,272,425.2,3.8
4,263.5,410.2,4.05
5,262,407.7,3.65
6,246.8,374.1,4.06
7,225.6,365.2,4.6
8,248.5,386.5,4.5
9,227,339.2,3.62
10,77.4,126.2,3.4
11,313,508,6.35
12,266.8,419.5,4.02
13,169,282.5,5.06
14,337,504,3.21
15,231.1,369.9,4.25
16,90.2,154.6,5.04
17,87.5,150.9,4.9
18,309.2,469.6,3.37
19,341.9,507.6,3.02
20,371.5,540.2,2.74
21,184.6,305.3,4.9
22,373.2,647,22.06
23,383.8,593,4.1
24,337.8,513,8.1
25,351.5,514,6.3
26,370.3,536.9,5.21
27,165.02,289.74,5.83
28,184.7,309.6,7.3
29,119.8,209.5,5.52
30,301.1,461,3.38
31,263,430.8,7.88
32,313.3,369.2,4.98
33,190,303,4.43
34,20.3,33.2,1.3
35,145.1,227.5,3.75
36,195,293,3.04
37,234,345,2.68
38,81.6,134.45,3.49
39,355.5,509,4.9
40,390.6,562,4.5
41,372,536,4.2
42,380.8,548,4.5
43,329.3,508,4.8
44,353,535,4.2
45,330,510,4.75
46,374.7,548,3.33
47,398.7,568.9,2.49
48,322.4,511.6,4.51
49,353.9,554,4.07
50,353.3,562,4.89
51,409.3,617,3.64
52,411.4,617,3.5
53,307.7,467.0,3.6
54,350.2,530.0,3.88
55,484.0,720,4.83
56,411.0,580.0,3.9
57,430.0,610.5,3.4
58,356.7,561.4,5.38
59,334.3,537.0,5.33
60,339.0,540.2,5.19
61,412.3,618.0,3.54
62,423.8,595.0,2.3
64,212.9,373.3,8.96
65,268.6,425.0,4.32
66,284.0,469.0,7.2
67,363.5,557.0,4.8
68,209.3,318.7,3.76
69,349.8,556.4,4.5
70,282.6,433.8,3.2
71,454.0,1000,1000
72,355.5,506.2,3.97
73,399.0,575.4,3.09
74,284.0,465.0,8.62
75,239.5,416.9,8.0
76,4.2,5.2,0.23
77,27.1,44.5,2.77
78,189.0,308.3,6.14
79,372.4,543.9,2.6
80,374.3,587.3,5.21
81,375.0,561.5,3.73
82,363.0,530.6,3.03
83,374.1,588.0,5.87
84,345.7,519.3,4.19
